sha256,family,file_type
0dc464798b0546623ed1412a6a5cbdd3697253b5b62e0d5516fa9e18e16e143d,AgentTesla,exe
2fbd83294f77550e8f9bd13ff100efda0e63854f267dcce90028b53edff6ab69,AgentTesla,exe
3031302885e4b193166ff7bc9cb50429be8bb8e62d99f655dcdba1cdd41ac17e,AgentTesla,exe
31b62db93d6167effa816246e7e8c6d8ee86b865e529e846a628feac6dc1589e,AgentTesla,exe
3d598d95b0c985d9a1e2fd399f00ebfc5177539b9e0c814ae12abadfc4933e0c,AgentTesla,exe
411b3e4c693c18b6cbb74d1b64c5ae064e0e80486ab01daa6b781dfada495517,AgentTesla,exe
49457f4873d15debba87933ff93d9709c820d2e3ca35658af3cff7c26b62dda4,AgentTesla,exe
52cd593a85d84da0c764e303c5f9c7811ba4ce5a759f625ce1117c5d707c2958,AgentTesla,exe
056f7a2e002038fe8fc3889f6065e7eb1587ab0452c396d330885ae3505e417d,Amadey,exe
182bc3c2b19b3254ea84fa8c0379c03edac5bfbe0a6ed27b03544192281ad899,Amadey,exe
1962b1acb673b0019006aa41c27fd05b25c978625a0e4851632c1cd93f2840f4,Amadey,exe
203858a2a480b9efc8e97209a38731941d985960eaa9fcf6045bb972f34b0761,Amadey,exe
213b55b1c7e1bf89dcad5f085f15b6cf1ac70ae8d3a914ea91dfc9ca92f83052,Amadey,exe
2368e264cafd9c6699c2ef958e873926b7f7575e52318c705127a166e4ab53dc,Amadey,exe
29352f59456553b5f5484561ad72727866119f00dfa50626b152ec47d68369a9,Amadey,exe
2e40c440729bb43a4c5e8ba6bcc07b406c59ebcd40f4fc8ca4ab405f721c32dc,Amadey,exe
349e9a8e9a72eeed9493e3f899e10877e0f4cf777f60d5f94c6f05b020a8bc74,Amadey,exe
368ce35222791d00f2bdeacb1206b7f54898f5f847d290a85c7cffde8c8f0d2e,Amadey,exe
3907a88fa142d0fc99be51a4421fb0558a6ba960c1a614d839f6f4f173a336f9,Amadey,exe
4064671e1ceddee6319e1d56165c50981fe59169108ee7e12962e8091ccfc711,Amadey,exe
49999f257686cfba6fe9504ff99a7776f998e3ba4887d28d2957f040ac346306,Amadey,exe
4b563e86564aafb8b2f57473e649f95189f6064e1bde038c95cfdc25757f90f2,Amadey,exe
506942bd1cb3947955dc5acf42db00c671b9aceccb7a8b909a06cbe2a5984aba,Amadey,exe
002a0aa5d6c6e213af273f5348721d24afe743ec969e92a0bea87425d6056981,AmosStealer,macho
03a86062b848fddd31fdcc02711949bc2a0254270d64a8d686ca1c93e36f2473,AmosStealer,macho
04142fd8d43d9c82024692e3de9c52af3d50d000a44ed2926cd1af8d608151c5,AmosStealer,macho
0640c40c9e71188765a7c32afbe49ef030d8db2afc67affcbea7885a7430db69,AmosStealer,macho
07f54b728016549d0931d6b8ea0ed43b856f1273c1d768e65b972968998e9f50,AmosStealer,macho
0c3c48b8302403ca47c8a7f5353631391b12080f4443246cd17cd433a53a1343,AmosStealer,macho
